team,component,reason,differences,description
McLaren,Rear Wing,Performance - Flow Conditioning,Endplate modification,A small revision to the rear wing endplate resulting in improved flow conditioning and aerodynamic characteristics across the full operating range.
McLaren,Rear Wing,Circuit Specific – Drag Reduction,New Rear Wing assembly,"A new rear wing assembly specifically designed for the increased isochronal of this circuit, resulting in an efficient reduction of drag in straight line and cornering mode."
Mercedes F1 Team,Rear Wing,Circuit specific - Drag Range,Reduce camber upper wing elements,The upper wing element camber has been reduced to drop local downforce and drag at a level appropriate for Spa L/D.
Mercedes F1 Team,Rear Corner,Performance - Local Load,Rear drum winglets position and span,The upper wing element camber has been reduced to drop local downforce and drag at a level appropriate for Spa L/D.
Mercedes F1 Team,Front Wing Endplate,Performance - Flow Conditioning,Endplate top edge camber increased,The upper wing element camber has been reduced to drop local downforce and drag at a level appropriate for Spa L/D.
Red Bull Racing,Rear Wing,Performance - Local Load,Revised pylon profiles,"Given the pylons now by regulation contact the mainplane underside, the interface is sensitive and revised with pylon changes to existing element profiles seeking to extract more load and at least maintain flow stability."
Scuderia Ferrari,None,No updates submitted for this event,None,None
Williams Racing,Rear Corner,Circuit specific - Drag Range,A revised rear brake duct winglet array,"To suit the demands of the Spa-Francorchamps circuit, we have reduced the loading on the rear corner which offers a local efficiency improvement."
Williams Racing,Floor Body,Circuit specific - Drag Range,A local trim has been applied to the main Floor Body,"A further circuit specific change, altering the balance between downforce and drag at the rear of the main floor."
Williams Racing,Floor Body,Performance - Flow Conditioning,An updated main floor profile which adds volume to the central part of the diffuser.,"To change the distribution of diffuser expansion volume across the car operating envelope, a new floor body surface has been introduced."
Racing Bulls / RB,Coke/Engine Cover,Performance – Flow Conditioning,Updated sidepod & upper bodywork,The profile of the sidepods has been modified to provide better control of the airflow passing around the side of the car.
Racing Bulls / RB,Roll Hoop,Performance – Flow Conditioning,Revised roll hoop inlet shape,"A narrower roll hoop has been introduced, which improves the flow quality reaching the back of the car and on to the rear wing."
Racing Bulls / RB,Front Corner,Performance – Flow Conditioning,Updated brake drum assembly,Detail changes on the front brake drum components bring improvements in air flow management at the front of the car.
Racing Bulls / RB,Rear Wing,Performance – Local Load,New upper rear wing assembly,"A number of changes to the mainplane and flap profiles allow the rear wing to generate downforce more efficiently, bringing performance improvement at Spa and other circuits."
Aston Martin,None,No updates submitted for this event,None,None
Haas F1 Team,Front Wing,Front Wing,Performance - Local Load,Performance -
Haas F1 Team,Front Wing Endplate,Front Wing,Performance - Flow Conditioning,Performance -
Haas F1 Team,Front Corner,Front Wing,Performance - Local Load,Performance -
Haas F1 Team,Beam Wing,Front Wing,Performance - Drag reduction,Performance -
Audi F1 Team,Rear Wing,Circuit specific – Drag Range,Rear wing upper cluster,A circuit-specific rear wing assembly has been introduced to align the aerodynamic configuration with the requirements of the upcoming event.
Audi F1 Team,Diffuser,Performance – Local load,Diffuser sidewall winglet,A minor refinement has been made to the diffuser as part of the ongoing aerodynamic development programme. The update is intended to enhance the aerodynamic behaviour of the surrounding flow field.
Alpine F1 Team,Halo,Performance – Flow Conditioning,Reprofiled halo fairing with an additional winglet,The halo has been redesigned to improve downstream flow management and provide aerodynamic load towards the rear end of the car.
Cadillac,Front Wing Endplate,Performance – Flow Conditioning,"Revised Front Wing Endplate footplate surfaces and turning vanes, and addition of horizontal vane to Endplate body","Updated Front Wing Endplate geometry improves flow quality to the forward floor, increasing the aerodynamic load generated in this area throughout the operating ride height range"
